admin_name,district,division,pixel_count,mean_lst,min_lst,max_lst,std_lst
Harirampur (Part),Turag,,27938,31.31,-100.83,40.42,3.97
Amin Bazar,Savar,,8763,31.17,26.18,37.3,2.33
Ward No-15 (part),Cantonment,,3663,31.13,27.3,34.66,1.25
Ward No-17 (Part),Khilkhet,,4801,31.12,27.88,33.91,0.91
Ward No-17 (Part),Badda,,3593,31.07,28.47,35.38,1.39
Tetuljhora,Savar,,22339,30.96,-122.83,38.91,4.18
Basta,Keraniganj,,25888,30.91,-83.56,37.33,3.23
Satarkul,Badda,,10538,30.9,25.85,35.52,2.15
Sakta,Keraniganj,,20365,30.89,26.02,35.35,1.49
Ward No-15 (part),Pallabi,,1637,30.78,27.6,33.43,0.96
Ward No-19,Gulshan,,6032,30.78,26.0,36.79,1.46
Saralia,Demra,,8347,30.73,-90.86,39.74,6.54
Ward No-08,Shah Ali,,4199,30.73,26.11,41.89,2.22
Dakshinkhan (part),Biman Bandar,,2642,30.66,27.71,33.54,1.09
Matuail (part),Demra,,2172,30.64,-67.01,35.55,5.55
Ward No-01,Uttara,,7787,30.64,-92.03,34.66,5.13
Taranagar,Keraniganj,,21280,30.36,26.84,36.69,1.48
Dhamrai Paurashava,Dhamrai,,6396,30.35,25.9,40.95,1.54
Savar Paurashava,Savar,,22387,30.32,-59.86,36.94,2.74
Dumni,Khilkhet,,5695,30.3,-87.08,35.06,5.64
Ashulia,Savar,,30218,30.28,-91.62,38.63,3.27
Dakshingaon (Part),Sabujbagh,,2297,30.23,27.35,35.06,1.43
Dakshinkhan (part),Khilkhet,,6928,30.22,-8.43,34.14,1.41
Matuail (part),Kadamtali,,1591,30.22,-86.71,34.54,6.53
Dakshinkhan (Part),Dakshinkhan,,8918,30.06,-85.38,33.15,3.06
Biralia,Savar,,32843,29.89,25.82,38.23,1.93
Bhakurta,Savar,,20550,29.75,25.76,35.95,1.33
Demra (part),Demra,,14403,29.67,-95.45,37.84,5.17
Dhamsana,Savar,,37262,29.65,-107.41,41.34,3.91
Banagram,Savar,,18804,29.53,25.95,38.22,1.58
Kalatia,Keraniganj,,21492,29.51,25.76,35.18,1.17
Ruhitpur,Keraniganj,,20091,29.5,-95.11,38.08,4.21
Kaundia,Savar,,13753,29.39,25.71,35.38,2.24
Yearpur,Savar,,29401,29.35,-107.2,38.47,5.41
Kailail,Nawabganj,,39010,29.23,-96.86,35.35,3.56
Savar,Savar,,8598,29.2,26.49,34.07,1.39
Pathalia(part),Savar,,32285,29.14,25.98,37.61,1.54
Baruakhali,Nawabganj,,12357,29.11,26.97,33.61,0.98
Hazratpur,Keraniganj,,23617,29.01,-104.98,35.44,4.82
Dohar Paurashava,Dohar,,14325,28.96,27.21,34.32,0.97
Barrah,Nawabganj,,19158,28.96,25.64,34.87,0.83
Bilaspur,Dohar,,11261,28.92,23.81,36.27,1.73
Kulla,Dhamrai,,38567,28.92,-99.23,35.86,2.42
Jantrail,Nawabganj,,21274,28.91,25.95,32.58,0.81
Kalakopa,Nawabganj,,6982,28.89,26.67,32.62,0.93
Bandura,Nawabganj,,16650,28.88,26.38,33.45,0.92
Suti Para,Dhamrai,,26752,28.87,-95.72,39.36,3.51
Kushumhati,Dohar,,20089,28.81,-65.2,35.62,2.33
Nasirabad,Khilgaon,,7079,28.74,-85.78,34.7,4.53
Sholla,Nawabganj,,44891,28.72,-109.83,35.09,5.26
Joykrishnapur,Nawabganj,,18199,28.71,-112.39,35.53,6.21
Sombhag,Dhamrai,,24244,28.69,25.99,36.71,1.29
Nannar,Dhamrai,,18126,28.67,26.02,33.48,1.15
Bakshanagar,Nawabganj,,10311,28.64,26.21,33.77,0.96
Sutar Para,Dohar,,17521,28.62,23.95,31.86,0.85
Dhamrai,Dhamrai,,6195,28.55,26.09,32.37,1.07
Nayansree,Nawabganj,,25658,28.54,-114.4,47.36,4.46
Bhararia,Dhamrai,,17429,28.49,26.1,32.72,0.97
Roypara,Dohar,,5140,28.49,27.47,31.75,0.64
Suapur,Dhamrai,,16266,28.42,-106.0,33.28,4.09
Shikari Para,Nawabganj,,12947,28.39,-108.64,32.51,5.39
Rowail,Dhamrai,,27839,28.29,-121.34,32.53,5.89
Galimpur,Nawabganj,,10552,28.27,26.02,32.48,1.0
Agla,Nawabganj,,16419,28.24,-107.63,32.65,4.44
Uttar Khan,Uttar Khan,,22535,28.23,-107.66,34.28,5.28
Sanora,Dhamrai,,19668,28.12,25.76,32.38,0.89
Shimulia,Savar,,40514,28.1,-117.18,37.52,5.8
Kushura,Dhamrai,,27247,28.04,-111.34,51.47,3.09
Gangutia,Dhamrai,,15493,27.95,-109.87,36.34,6.48
Churain,Nawabganj,,23595,27.83,-99.16,31.94,3.89
Narisha,Dohar,,20510,27.73,-112.12,36.13,3.89
Balia,Dhamrai,,16868,27.69,-80.47,32.38,3.57
Amta,Dhamrai,,11530,27.39,-110.42,31.91,5.96
Jadabpur,Dhamrai,,21676,27.38,-114.82,50.51,5.89
Baisakanda,Dhamrai,,20290,27.27,-123.21,42.16,6.74
Chauhat,Dhamrai,,23083,26.96,-106.61,32.03,8.13
Nayabari,Dohar,,14743,26.84,-118.09,36.23,6.54
Mahmudpur,Dohar,,41173,26.8,-96.02,38.06,6.5
Muksudpur,Dohar,,16793,26.73,-111.55,33.41,6.92
